key	text	tooltip
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_naggaroth_secondary_detail	Terrible news comes to you from Naggaroth. The cold and forbidden lands of the dark elves has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_lustria_primary_detail	Rumors from Lustria	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_lustria_secondary_detail	Other persistent rumors have reached you: Lustria would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_lustria_primary_detail	Lustria infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_lustria_secondary_detail	Another chaotic wave was seen near Lustria. Unholy hordes worshiping dark gods have been summoned to the sacred land of the Lizardmen, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_lustria_primary_detail	Lustria doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_lustria_secondary_detail	Terrible news comes to you from Lustria. The sacred land of the Lizardmen has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_vortex_primary_detail	Rumors from the Great Vortex	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_vortex_secondary_detail	Other persistent rumors have reached you: the Great Vortex would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_vortex_primary_detail	Great Vortex infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_vortex_secondary_detail	Another chaotic wave was seen near the Great Vortex. Unholy hordes worshiping dark gods have been summoned inside the vast magical maelstrom at the heart of the island-continent, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_vortex_primary_detail	Great Vortex doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_vortex_secondary_detail	Terrible news comes to you from the Great Vortex. The vast magical maelstrom at the heart of the island-continent has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_great_ocean_primary_detail	Rumors from the Great Ocean	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_great_ocean_secondary_detail	Other persistent rumors have reached you: Sailors report disturbing disappearances far into the northern part of the Great Ocean. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_great_ocean_primary_detail	Great Ocean infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_great_ocean_secondary_detail	Another chaotic wave was seen near the northern part of the Great Ocean. Unholy hordes worshiping dark gods have been summoned from the cold and unknown water, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_great_ocean_primary_detail	Great Ocean doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_great_ocean_secondary_detail	Terrible news comes to you from the northern part of the Great Ocean. Waves 30 meters high surged, bringing with them hordes of misshapen creatures, ready to attack the coasts in search of blood.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_south_great_ocean_primary_detail	Rumors from the Great Ocean	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_south_great_ocean_secondary_detail	Other persistent rumors have reached you: Sailors report disturbing disappearances far into the southern part of the Great Ocean. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_south_great_ocean_primary_detail	Great Ocean infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_south_great_ocean_secondary_detail	Another chaotic wave was seen near the southern part of the Great Ocean. Unholy hordes worshiping dark gods have been summoned from the hot and unknown water, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_south_great_ocean_primary_detail	Great Ocean doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_south_great_ocean_secondary_detail	Terrible news comes to you from the southern part of the Great Ocean. Waves 30 meters high surged, bringing with them hordes of misshapen creatures, ready to attack the coasts in search of blood.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_unknown_seas_primary_detail	Rumors from the Unknown Seas	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_unknown_seas_secondary_detail	Other persistent rumors have reached you: Sailors report disturbing disappearances far to the east, close to the Unknown Seas. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_unknown_seas_primary_detail	Unknown Seas infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_unknown_seas_secondary_detail	Another chaotic wave was seen far to the east, close to the Unknown Seas. Unholy hordes worshiping dark gods have been summoned from the hot and unknown water, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_unknown_seas_primary_detail	Unknown Seas doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_unknown_seas_secondary_detail	Terrible news comes to you far to the east, close to the Unknown Seas. Waves 30 meters high surged, bringing with them hordes of misshapen creatures, ready to attack the coasts in search of blood.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_nagash_pyramid_primary_detail	Rumors from the Black Pyramid of Nagash	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_nagash_pyramid_secondary_detail	Other persistent rumors have reached you: the Black Pyramid of Nagash would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_nagash_pyramid_primary_detail	Black Pyramid of Nagash infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_nagash_pyramid_secondary_detail	Another chaotic wave was seen near the Black Pyramid of Nagash. Unholy hordes worshiping dark gods have been summoned inside the damned burial of Nagash in middle of Arabia, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_nagash_pyramid_primary_detail	Black Pyramid of Nagash doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_nagash_pyramid_secondary_detail	Terrible news comes to you from the Black Pyramid of Nagash. The damned burial of Nagash in middle of Arabia has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_sylvania_primary_detail	Rumors from Sylvania	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_sylvania_secondary_detail	Other persistent rumors have reached you: Sylvania would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_sylvania_primary_detail	Sylvania infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_sylvania_secondary_detail	Another chaotic wave was seen near Sylvania. Unholy hordes worshiping dark gods have been summoned inside the damned lands of the vampire dynasty, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_sylvania_primary_detail	Sylvania doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_sylvania_secondary_detail	Terrible news comes to you from Sylvania. The damned lands of the vampire dynasty has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_badlands_primary_detail	Rumors from Badlands	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_badlands_secondary_detail	Other persistent rumors have reached you: Badlands would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_badlands_primary_detail	Badlands infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_badlands_secondary_detail	Another chaotic wave was seen near the Badlands. Unholy hordes worshiping dark gods have been summoned inside the desertic badlands, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_badlands_primary_detail	Badlands doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_badlands_secondary_detail	Terrible news comes to you from Badlands. The desertic badlands has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_empire_primary_detail	Rumors from Empire	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_empire_secondary_detail	Other persistent rumors have reached you: Empire would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_empire_primary_detail	Empire infected	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_empire_secondary_detail	Another chaotic wave was seen near the heart of Empire. Unholy hordes worshiping dark gods have been summoned inside the greatest and most powerful realm of the Old World, spreading death and desolation in their paths.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_empire_primary_detail	Empire doomed	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_empire_secondary_detail	Terrible news comes to you from Empire. The greatest and most powerful realm of the Old World has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	true
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_dwarf_mountains_primary_detail	Rumors from Karaz-A-Karak	false
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_early_dwarf_mountains_secondary_detail	Other persistent rumors have reached you: Karaz-A-Karak would also recently be surrounded by stale air. Let's hope that this is not a warning sign of something...	false
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_dwarf_mountains_primary_detail	Karaz-A-Karak infected	false
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_mid_dwarf_mountains_secondary_detail	Another chaotic wave was seen near the heart of Karaz-A-Karak. Unholy hordes worshiping dark gods have been summoned inside the ancestral mountains of the proud Dwarf race, spreading death and desolation in their paths.	false
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_dwarf_mountains_primary_detail	Karaz-A-Karak doomed	false
event_feed_strings_text_wh_event_feed_string_scripted_event_chaos_invasion_end_dwarf_mountains_secondary_detail	Terrible news comes to you from Karaz-A-Karak. The ancestral mountains of the proud Dwarf race has also been invaded by chaos. Rotten from within, the earth split open and a chaotic portal opened, spewing hordes of misshapen creatures.	false
